time,open,high,low,close,volume,ticker
2011-05-10,8400,8400,8100,8400,3330,ICF
2011-05-11,8400,8400,8300,8400,3140,ICF
2011-05-12,8400,8400,8100,8100,11700,ICF
2011-05-13,8100,8300,8100,8300,3820,ICF
2011-05-16,8300,8300,8000,8200,4540,ICF
2011-05-17,8200,8200,8000,8000,10150,ICF
2011-05-18,7900,8100,7900,8100,11680,ICF
2011-05-19,8000,8300,7800,7800,13110,ICF
2011-05-20,7500,7900,7500,7900,209560,ICF
2011-05-23,7700,7900,7600,7900,9220,ICF
2011-05-24,7700,7900,7600,7600,10610,ICF
2011-05-25,7300,7600,7300,7300,7450,ICF
2011-05-26,7000,7400,7000,7400,19780,ICF
2011-05-27,7500,7500,7300,7500,12610,ICF
2011-05-30,7400,7400,7200,7200,23170,ICF
2011-05-31,7200,7200,6900,7100,28560,ICF
2011-06-01,6800,7100,6800,7000,60760,ICF
2011-06-02,7200,7300,7000,7300,20680,ICF
2011-06-03,7600,7600,7000,7000,74960,ICF
2011-06-06,6900,7000,6700,6700,122370,ICF
2011-06-07,6800,7000,6700,7000,19000,ICF
2011-06-08,7000,7200,7000,7200,1550,ICF
2011-06-09,7000,7300,6900,7000,31310,ICF
2011-06-10,7300,7300,7300,7300,13320,ICF
2011-06-13,7600,7600,7600,7600,5320,ICF
2011-06-14,7900,7900,7900,7900,4780,ICF
2011-06-15,8200,8200,7800,7800,167510,ICF
2011-06-16,7700,7900,7700,7800,67960,ICF
2011-06-17,7600,7800,7500,7500,58260,ICF
2011-06-20,7200,7400,7200,7200,28950,ICF
2011-06-21,7100,7500,7000,7500,77150,ICF
2011-06-22,7800,7800,7800,7800,32370,ICF
2011-06-23,8000,8100,7900,8100,144460,ICF
2011-06-24,8200,8300,8100,8200,69120,ICF
2011-06-27,8100,8100,7800,7900,67480,ICF
2011-06-28,7900,8100,7900,8000,65900,ICF
2011-06-29,6600,6800,6500,6700,18310,ICF
2011-06-30,6600,6800,6600,6600,12440,ICF
2011-07-01,6500,6500,6300,6300,36420,ICF
2011-07-04,6500,6500,6100,6400,19680,ICF
2011-07-05,6700,6700,6400,6400,23650,ICF
2011-07-06,6400,6400,6200,6300,6780,ICF
2011-07-07,6200,6400,6200,6200,3260,ICF
2011-07-08,6000,6200,6000,6200,25580,ICF
2011-07-11,6000,6400,6000,6400,21100,ICF
2011-07-12,6200,6400,6200,6400,2150,ICF
2011-07-13,6400,6400,6200,6300,10650,ICF
2011-07-14,6200,6300,6100,6300,10640,ICF
2011-07-15,6300,6300,6100,6200,18030,ICF
2011-07-18,6300,6300,6000,6100,3350,ICF
2011-07-19,6000,6300,6000,6300,32240,ICF
2011-07-20,6100,6300,6000,6300,11510,ICF
2011-07-21,6300,6300,6000,6200,25340,ICF
2011-07-22,6200,6200,5900,6200,13950,ICF
2011-07-25,6000,6000,5900,5900,25470,ICF
2011-07-26,5800,5800,5700,5700,9520,ICF
2011-07-27,5700,5900,5600,5800,3160,ICF
2011-07-28,5600,5900,5600,5600,17290,ICF
2011-07-29,5600,5600,5400,5600,10220,ICF
2011-08-01,5800,5800,5400,5500,11370,ICF
2011-08-02,5400,5500,5400,5500,4330,ICF
2011-08-03,5500,5700,5400,5500,24300,ICF
2011-08-04,5500,5600,5500,5600,7750,ICF
2011-08-05,5600,5600,5500,5500,7210,ICF
2011-08-08,5400,5700,5400,5700,1390,ICF
2011-08-09,5500,5500,5500,5500,3630,ICF
2011-08-10,5500,5500,5500,5500,0,ICF
2011-08-11,5300,5500,5300,5300,3270,ICF
2011-08-12,5300,5400,5300,5300,6800,ICF
2011-08-15,5200,5400,5200,5400,8000,ICF
2011-08-16,5200,5500,5200,5500,1990,ICF
2011-08-17,5500,5600,5500,5600,12970,ICF
2011-08-18,5400,5700,5400,5600,5250,ICF
2011-08-19,5500,5600,5400,5600,12610,ICF
2011-08-22,5700,5700,5500,5700,2540,ICF
2011-08-23,5600,5600,5500,5500,5800,ICF
2011-08-24,5500,5500,5500,5500,1640,ICF
2011-08-25,5500,5500,5500,5500,1030,ICF
2011-08-26,5500,5600,5300,5500,6510,ICF
2011-08-29,5500,5700,5500,5500,14700,ICF
2011-08-30,5500,5700,5500,5700,5290,ICF
2011-08-31,5800,5900,5600,5700,35310,ICF
2011-09-01,5600,5800,5600,5800,42950,ICF
2011-09-05,5900,5900,5600,5800,38000,ICF
2011-09-06,5600,5700,5600,5600,17550,ICF
2011-09-07,5700,5800,5500,5800,13420,ICF
2011-09-08,5900,6000,5800,5900,97970,ICF
2011-09-09,5900,6000,5700,5900,41920,ICF
2011-09-12,5900,6100,5800,6100,85090,ICF
2011-09-13,6300,6400,6300,6400,96920,ICF
2011-09-14,6400,6700,6300,6400,44620,ICF
2011-09-15,6200,6300,6100,6300,67160,ICF
2011-09-16,6200,6300,6000,6000,81400,ICF
2011-09-19,5800,6100,5800,6100,17270,ICF
2011-09-20,5900,6000,5800,5800,48050,ICF
2011-09-21,5900,6000,5700,5700,33910,ICF
2011-09-22,5700,5900,5700,5900,21670,ICF
2011-09-23,5800,6000,5800,5900,14680,ICF
2011-09-26,5900,6100,5900,6100,23380,ICF
2011-09-27,5900,6100,5900,5900,13540,ICF
2011-09-28,6100,6100,6000,6100,20540,ICF
2011-09-29,6100,6100,5900,6000,2120,ICF
2011-09-30,5900,6100,5800,5800,1220,ICF
2011-10-03,5800,5800,5600,5600,35690,ICF
2011-10-04,5600,5700,5500,5600,11150,ICF
2011-10-05,5600,5600,5600,5600,4600,ICF
2011-10-06,5600,5700,5600,5600,13120,ICF
2011-10-07,5600,5600,5500,5500,4400,ICF
2011-10-10,5600,5600,5500,5500,4170,ICF
2011-10-11,5500,5700,5500,5700,4790,ICF
2011-10-12,5500,5700,5500,5700,4350,ICF
2011-10-13,5600,5700,5600,5600,4760,ICF
2011-10-14,5700,5700,5600,5600,2390,ICF
2011-10-17,5500,5700,5500,5700,7200,ICF
2011-10-18,5800,5800,5600,5600,3720,ICF
2011-10-19,5700,5700,5500,5700,5110,ICF
2011-10-20,5600,5600,5500,5500,1560,ICF
2011-10-21,5700,5700,5500,5700,430,ICF
2011-10-24,5700,5700,5700,5700,100,ICF
2011-10-25,5500,5600,5500,5600,4340,ICF
2011-10-26,5700,5700,5500,5600,520,ICF
2011-10-27,5500,5600,5500,5600,2200,ICF
2011-10-28,5700,5700,5700,5700,1800,ICF
2011-10-31,5600,5700,5600,5600,4200,ICF
2011-11-01,5500,5600,5400,5400,6170,ICF
2011-11-02,5400,5400,5200,5200,6430,ICF
2011-11-03,5100,5300,5100,5300,14650,ICF
2011-11-04,5300,5400,5300,5300,610,ICF
2011-11-07,5300,5300,5100,5100,10600,ICF
2011-11-08,4900,5200,4900,5100,1020,ICF
2011-11-09,4900,5200,4900,4900,8470,ICF
2011-11-10,5000,5000,5000,5000,120,ICF
2011-11-11,5000,5000,4800,4800,5670,ICF
2011-11-14,4600,4800,4600,4600,4280,ICF
2011-11-15,4500,4500,4400,4400,14670,ICF
2011-11-16,4300,4600,4200,4300,780,ICF
2011-11-17,4300,4500,4200,4500,10890,ICF
2011-11-18,4300,4500,4300,4500,6150,ICF
2011-11-21,4500,4500,4400,4400,3010,ICF
2011-11-22,4300,4400,4200,4400,9560,ICF
2011-11-23,4400,4400,4400,4400,10,ICF
2011-11-24,4200,4300,4200,4200,14570,ICF
2011-11-25,4000,4000,4000,4000,11970,ICF
2011-11-28,4200,4200,4200,4200,1610,ICF
2011-11-29,4100,4400,4100,4400,2030,ICF
2011-11-30,4200,4400,4200,4200,26380,ICF
2011-12-01,4200,4200,4200,4200,0,ICF
2011-12-02,4200,4300,4200,4200,2260,ICF
2011-12-05,4000,4400,4000,4400,39060,ICF
2011-12-06,4400,4400,4300,4300,8860,ICF
2011-12-07,4300,4300,4100,4300,14070,ICF
2011-12-08,4400,4400,4100,4100,580,ICF
2011-12-09,3900,4300,3900,4100,9010,ICF
2011-12-12,4000,4100,3900,4100,6860,ICF
2011-12-13,4000,4000,3900,4000,8210,ICF
2011-12-14,4100,4100,3800,3800,2010,ICF
2011-12-15,3700,3900,3700,3900,6520,ICF
2011-12-16,3900,4000,3900,4000,1010,ICF
2011-12-19,3800,4000,3800,4000,20,ICF
2011-12-20,3800,3900,3800,3900,2520,ICF
2011-12-21,3900,3900,3800,3800,14030,ICF
2011-12-22,3800,3900,3700,3900,10200,ICF
2011-12-23,4000,4000,4000,4000,20,ICF
2011-12-26,3900,4100,3800,4100,20750,ICF
2011-12-27,3900,4300,3900,4300,17480,ICF
2011-12-28,4300,4500,4300,4500,11310,ICF
2011-12-29,4500,4600,4500,4600,14950,ICF
2011-12-30,4500,4800,4500,4800,19740,ICF
2012-01-03,4700,4700,4600,4600,1550,ICF
2012-01-04,4500,4500,4400,4400,3010,ICF
2012-01-05,4200,4500,4200,4200,2840,ICF
2012-01-06,4300,4300,4000,4100,2910,ICF
2012-01-09,4000,4300,4000,4300,1120,ICF
2012-01-10,4200,4500,4200,4500,540,ICF
2012-01-11,4300,4600,4300,4300,1610,ICF
2012-01-12,4500,4500,4100,4200,1550,ICF
2012-01-13,4300,4400,4100,4100,120,ICF
2012-01-16,4300,4300,4000,4000,2140,ICF
2012-01-17,4200,4200,4100,4100,1210,ICF
2012-01-18,4100,4100,4000,4100,1150,ICF
2012-01-19,4300,4300,4300,4300,500,ICF
2012-01-20,4400,4500,4400,4500,900,ICF
2012-01-30,4500,4600,4500,4600,390,ICF
2012-01-31,4700,4700,4600,4700,260,ICF
2012-02-01,4500,4600,4500,4600,310,ICF
2012-02-02,4600,4700,4600,4600,3550,ICF
2012-02-03,4500,4700,4400,4600,9440,ICF
2012-02-06,4400,4600,4400,4400,8530,ICF
2012-02-07,4600,4600,4200,4200,2790,ICF
2012-02-08,4300,4400,4300,4400,5030,ICF
2012-02-09,4500,4600,4300,4300,3060,ICF
2012-02-10,4200,4500,4200,4500,13600,ICF
2012-02-13,4600,4600,4300,4300,1320,ICF
2012-02-14,4500,4500,4200,4400,4460,ICF
2012-02-15,4400,4400,4400,4400,1750,ICF
2012-02-16,4200,4600,4200,4600,6910,ICF
2012-02-17,4600,4700,4600,4600,10080,ICF
2012-02-20,4700,4800,4600,4600,5700,ICF
2012-02-21,4800,4800,4400,4600,7760,ICF
2012-02-22,4700,4700,4500,4700,6300,ICF
2012-02-23,4600,4900,4600,4900,19280,ICF
2012-02-24,4700,4900,4700,4900,19570,ICF
2012-02-27,4900,5100,4900,5000,35030,ICF
2012-02-28,4900,5000,4800,4800,17480,ICF
2012-02-29,4900,4900,4700,4800,7110,ICF
2012-03-01,4700,5000,4700,5000,41820,ICF
2012-03-02,5100,5200,5000,5200,31400,ICF
2012-03-05,5200,5400,5200,5400,47150,ICF
2012-03-06,5600,5600,5400,5600,49720,ICF
2012-03-07,5400,5600,5400,5600,21530,ICF
2012-03-08,5400,5500,5400,5400,8690,ICF
2012-03-09,5200,5200,5200,5200,4050,ICF
2012-03-12,5000,5000,5000,5000,5650,ICF
2012-03-13,4900,5200,4800,5100,25050,ICF
2012-03-14,4900,5000,4900,4900,6900,ICF
2012-03-15,4700,5100,4700,5100,34220,ICF
2012-03-16,5000,5200,4900,5000,16630,ICF
2012-03-19,4800,5000,4800,4800,3550,ICF
2012-03-20,4700,5000,4700,5000,7350,ICF
2012-03-21,4800,5100,4800,5100,20900,ICF
2012-03-22,4900,5100,4900,5000,12140,ICF
2012-03-23,4900,5100,4900,5100,37050,ICF
2012-03-26,5200,5200,5000,5100,73590,ICF
2012-03-27,5100,5200,5000,5000,39680,ICF
2012-03-28,5000,5200,4900,5100,22440,ICF
2012-03-29,5100,5200,5000,5000,3110,ICF
2012-03-30,5000,5000,4900,4900,13130,ICF
2012-04-03,4900,5100,4900,5100,18260,ICF
2012-04-04,5000,5100,4900,4900,14740,ICF
2012-04-05,5000,5000,4900,4900,650,ICF
2012-04-06,4900,5000,4900,5000,17340,ICF
2012-04-09,5000,5100,5000,5100,21660,ICF
2012-04-10,5100,5200,4900,5200,22770,ICF
2012-04-11,5100,5300,5000,5300,23760,ICF
2012-04-12,5300,5400,5200,5400,48360,ICF
2012-04-13,5200,5400,5200,5200,29130,ICF
2012-04-16,5200,5400,5200,5400,39240,ICF
2012-04-17,5400,5600,5400,5600,50620,ICF
2012-04-18,5400,5700,5400,5600,27450,ICF
2012-04-19,5500,5600,5400,5400,33000,ICF
2012-04-20,5500,5600,5400,5600,20860,ICF
2012-04-23,5600,5700,5500,5500,24630,ICF
2012-04-24,5500,5600,5400,5500,5100,ICF
2012-04-25,5600,5600,5500,5600,34390,ICF
2012-04-26,5600,5800,5600,5800,32660,ICF
2012-04-27,5800,6000,5700,6000,66190,ICF
2012-05-02,5900,6100,5900,6100,44170,ICF
2012-05-03,6100,6400,5900,6400,74220,ICF
2012-05-04,6400,6600,6400,6400,33190,ICF
2012-05-07,6600,6700,6600,6700,73650,ICF
2012-05-08,6900,7000,6800,6800,39320,ICF
2012-05-09,6800,7000,6500,7000,67560,ICF
2012-05-10,7000,7200,7000,7100,41880,ICF
2012-05-11,6800,7100,6800,6800,44530,ICF
2012-05-14,6500,6700,6500,6500,31460,ICF
2012-05-15,6200,6300,6200,6200,40390,ICF
2012-05-16,5900,6200,5900,6000,32360,ICF
2012-05-17,6200,6200,5900,6100,12450,ICF
2012-05-18,5800,6000,5800,5800,17230,ICF
2012-05-21,5800,6000,5700,6000,23290,ICF
2012-05-22,6000,6100,5700,6100,15600,ICF
2012-05-23,5800,5800,5800,5800,5880,ICF
2012-05-24,5600,5800,5600,5800,9980,ICF
2012-05-25,5900,6000,5900,6000,14460,ICF
2012-05-28,6100,6100,5800,5800,16840,ICF
2012-05-29,5800,5800,5600,5600,10550,ICF
2012-05-30,5600,5600,5400,5600,29020,ICF
2012-05-31,5600,5600,5400,5400,18650,ICF
2012-06-01,5400,5500,5300,5400,8760,ICF
2012-06-04,5300,5300,5200,5200,14880,ICF
2012-06-05,5400,5400,5400,5400,1040,ICF
2012-06-06,5300,5400,5300,5300,2010,ICF
2012-06-07,5400,5500,5400,5500,33840,ICF
2012-06-08,5600,5600,5300,5600,30490,ICF
2012-06-11,5600,5600,5500,5600,3510,ICF
2012-06-12,5500,5600,5400,5600,13330,ICF
2012-06-13,5400,5500,5400,5400,7500,ICF
2012-06-14,5500,5500,5500,5500,2200,ICF
2012-06-15,5400,5600,5400,5400,2230,ICF
2012-06-18,5600,5600,5500,5500,220,ICF
2012-06-19,5600,5600,5600,5600,1010,ICF
2012-06-20,5400,5600,5400,5400,4950,ICF
2012-06-21,5400,5500,5200,5500,4830,ICF
2012-06-22,5500,5500,5300,5300,4420,ICF
2012-06-25,5500,5500,5400,5400,1600,ICF
2012-06-26,5200,5300,5200,5300,5600,ICF
2012-06-27,5100,5100,5100,5100,2030,ICF
2012-06-28,5100,5100,5100,5100,1100,ICF
2012-06-29,4900,5200,4900,5200,3100,ICF
2012-07-02,5200,5200,5200,5200,0,ICF
2012-07-03,5000,5000,5000,5000,650,ICF
2012-07-04,5000,5000,4800,5000,5500,ICF
2012-07-05,4900,5000,4900,4900,1200,ICF
2012-07-06,4900,5000,4900,4900,2000,ICF
2012-07-09,4700,4800,4700,4800,1010,ICF
2012-07-10,4800,4800,4800,4800,1000,ICF
2012-07-11,4600,4800,4600,4800,7080,ICF
2012-07-12,4800,4800,4700,4700,3040,ICF
2012-07-13,4900,4900,4600,4800,10240,ICF
2012-07-16,4700,4800,4600,4600,3000,ICF
2012-07-17,4800,4800,4600,4600,120,ICF
2012-07-18,4800,4800,4500,4600,9830,ICF
2012-07-19,4700,4800,4500,4800,33240,ICF
2012-07-20,4900,4900,4700,4900,12170,ICF
2012-07-23,4800,4800,4700,4800,5000,ICF
2012-07-24,4800,4800,4600,4600,4290,ICF
2012-07-25,4600,4600,4500,4600,6520,ICF
2012-07-26,4600,4800,4500,4700,13400,ICF
2012-07-27,4500,4800,4500,4500,6630,ICF
2012-07-30,4700,4700,4300,4600,41160,ICF
2012-07-31,4400,4700,4400,4400,1040,ICF
2012-08-01,4400,4500,4400,4500,1010,ICF
2012-08-02,4600,4600,4600,4600,10,ICF
2012-08-03,4500,4600,4500,4600,7690,ICF
2012-08-06,4500,4700,4500,4600,9830,ICF
2012-08-07,4500,4600,4500,4600,1130,ICF
2012-08-08,4600,4600,4500,4500,4930,ICF
2012-08-09,4400,4600,4400,4600,8430,ICF
2012-08-10,4500,4500,4400,4500,8490,ICF
2012-08-13,4400,4500,4300,4500,4630,ICF
2012-08-14,4400,4600,4400,4600,1850,ICF
2012-08-15,4600,4600,4400,4600,15600,ICF
2012-08-16,4600,4600,4400,4400,7560,ICF
2012-08-17,4400,4400,4300,4400,8320,ICF
2012-08-20,4300,4400,4200,4300,24830,ICF
2012-08-21,4200,4300,4100,4300,9820,ICF
2012-08-22,4100,4200,4100,4100,10940,ICF
2012-08-23,3900,3900,3900,3900,4770,ICF
2012-08-24,3800,4000,3800,4000,45030,ICF
2012-08-27,3800,3900,3800,3800,1620,ICF
2012-08-28,3700,3700,3700,3700,17710,ICF
2012-08-29,3600,3800,3600,3700,21160,ICF
2012-08-30,3800,3800,3600,3700,23980,ICF
2012-08-31,3700,3700,3600,3700,12690,ICF
2012-09-04,3700,3800,3700,3800,20430,ICF
2012-09-05,3700,3800,3700,3800,16430,ICF
2012-09-06,3800,3800,3700,3800,8610,ICF
2012-09-07,3800,3800,3700,3700,5080,ICF
2012-09-10,3600,3600,3600,3600,3030,ICF
2012-09-11,3500,3500,3500,3500,17640,ICF
2012-09-12,3500,3600,3500,3600,30250,ICF
2012-09-13,3500,3600,3500,3600,22780,ICF
2012-09-14,3700,3700,3600,3600,10990,ICF
2012-09-17,3500,3500,3500,3500,21210,ICF
2012-09-18,3600,3600,3400,3400,9420,ICF
2012-09-19,3500,3500,3300,3500,2310,ICF
2012-09-20,3400,3400,3400,3400,20,ICF
2012-09-21,3400,3500,3400,3500,4850,ICF
2012-09-24,3500,3500,3400,3400,13450,ICF
2012-09-25,3400,3500,3400,3500,2140,ICF
2012-09-26,3500,3500,3500,3500,1010,ICF
2012-09-27,3400,3500,3400,3500,1500,ICF
2012-09-28,3400,3400,3400,3400,2520,ICF
2012-10-01,3500,3500,3300,3300,9760,ICF
2012-10-02,3300,3300,3200,3200,8850,ICF
2012-10-03,3200,3300,3200,3300,6080,ICF
2012-10-04,3300,3300,3200,3200,2480,ICF
2012-10-05,3200,3200,3100,3100,6430,ICF
2012-10-08,3200,3200,3200,3200,1000,ICF
2012-10-09,3300,3300,3300,3300,12000,ICF
2012-10-10,3400,3400,3400,3400,6360,ICF
2012-10-11,3500,3500,3500,3500,5010,ICF
2012-10-12,3500,3500,3400,3400,11230,ICF
2012-10-15,3300,3300,3300,3300,10140,ICF
2012-10-16,3400,3400,3300,3300,14520,ICF
2012-10-17,3300,3300,3200,3300,17620,ICF
2012-10-18,3300,3400,3300,3400,2370,ICF
2012-10-19,3300,3300,3300,3300,1600,ICF
2012-10-22,3200,3200,3200,3200,21000,ICF
2012-10-23,3100,3200,3100,3200,4620,ICF
2012-10-24,3100,3100,3100,3100,3100,ICF
2012-10-25,3000,3000,3000,3000,30040,ICF
2012-10-26,3100,3100,3000,3100,3150,ICF
2012-10-29,3000,3100,3000,3100,2890,ICF
2012-10-30,3000,3100,3000,3100,1010,ICF
2012-10-31,3000,3000,3000,3000,15320,ICF
2012-11-01,2900,3000,2900,3000,850,ICF
2012-11-02,3000,3000,2900,2900,8670,ICF
2012-11-05,3000,3000,3000,3000,10,ICF
2012-11-06,2900,3000,2900,3000,1820,ICF
2012-11-07,3000,3100,3000,3100,100,ICF
2012-11-08,3000,3000,3000,3000,1870,ICF
2012-11-09,3000,3000,2900,2900,3010,ICF
2012-11-12,2900,3000,2900,3000,320,ICF
2012-11-13,3000,3000,3000,3000,0,ICF
2012-11-14,3100,3100,2900,2900,40,ICF
2012-11-15,2900,3000,2800,2800,1360,ICF
2012-11-16,2900,2900,2900,2900,10,ICF
2012-11-19,2900,3000,2900,3000,2990,ICF
2012-11-20,3000,3000,3000,3000,0,ICF
2012-11-21,3000,3000,2900,3000,980,ICF
2012-11-22,2900,2900,2900,2900,6000,ICF
2012-11-23,3000,3000,2900,2900,450,ICF
2012-11-26,3000,3000,2900,3000,4610,ICF
2012-11-27,2900,2900,2900,2900,1920,ICF
2012-11-28,3000,3000,2800,3000,4270,ICF
2012-11-29,2900,3000,2900,2900,720,ICF
2012-11-30,2800,2800,2800,2800,11000,ICF
2012-12-03,2800,2900,2800,2900,1170,ICF
2012-12-04,3000,3000,3000,3000,110,ICF
2012-12-05,3000,3000,3000,3000,2710,ICF
2012-12-06,2900,3000,2900,3000,13620,ICF
2012-12-07,3000,3100,2900,3000,5710,ICF
2012-12-10,3100,3100,3000,3100,1720,ICF
2012-12-11,3000,3100,3000,3000,5540,ICF
2012-12-12,3000,3100,3000,3100,9100,ICF
2012-12-13,3000,3100,3000,3100,2620,ICF
2012-12-14,3100,3100,3000,3100,45250,ICF
2012-12-17,3100,3100,3000,3100,12940,ICF
2012-12-18,3100,3100,3100,3100,1010,ICF
2012-12-19,3100,3200,3000,3100,19190,ICF
2012-12-20,3000,3200,3000,3100,16720,ICF
2012-12-21,3000,3100,3000,3100,9970,ICF
2012-12-24,3100,3100,3000,3100,18100,ICF
2012-12-25,3000,3000,3000,3000,17220,ICF
2012-12-26,3100,3100,3000,3100,3410,ICF
2012-12-27,3100,3200,3100,3200,41060,ICF
2012-12-28,3200,3300,3100,3300,54530,ICF
2013-01-02,3400,3400,3300,3400,77280,ICF
2013-01-03,3500,3500,3300,3300,30150,ICF
2013-01-04,3300,3400,3300,3400,13910,ICF
2013-01-07,3500,3500,3400,3500,24360,ICF
2013-01-08,3400,3500,3400,3400,39040,ICF
2013-01-09,3400,3500,3300,3300,104600,ICF
2013-01-10,3400,3400,3200,3300,19140,ICF
2013-01-11,3400,3400,3300,3400,44980,ICF
2013-01-14,3400,3400,3300,3300,42650,ICF
2013-01-15,3400,3500,3400,3500,26090,ICF
2013-01-16,3500,3700,3500,3700,189310,ICF
2013-01-17,3800,3800,3600,3800,85510,ICF
2013-01-18,3700,3800,3600,3800,15820,ICF
2013-01-21,3700,3700,3600,3600,26940,ICF
2013-01-22,3400,3500,3400,3400,70860,ICF
2013-01-23,3300,3400,3300,3300,13040,ICF
2013-01-24,3300,3500,3300,3500,18980,ICF
2013-01-25,3400,3500,3300,3400,19450,ICF
2013-01-28,3400,3500,3400,3400,29530,ICF
2013-01-29,3300,3600,3300,3400,21550,ICF
2013-01-30,3500,3600,3500,3600,38010,ICF
2013-01-31,3500,3700,3500,3700,24120,ICF
2013-02-01,3700,3700,3500,3700,9140,ICF
2013-02-04,3700,3700,3600,3700,9270,ICF
2013-02-05,3600,3700,3500,3600,38480,ICF
2013-02-06,3600,3600,3600,3600,19110,ICF
2013-02-07,3500,3700,3500,3600,30340,ICF
2013-02-08,3700,3800,3700,3700,22410,ICF
2013-02-18,3800,3900,3700,3900,83360,ICF
2013-02-19,4000,4100,3900,4100,76850,ICF
2013-02-20,4100,4100,4000,4000,36180,ICF
2013-02-21,4100,4100,3800,3800,167080,ICF
2013-02-22,3800,4000,3700,3900,37070,ICF
2013-02-25,3700,4000,3700,4000,6520,ICF
2013-02-26,3800,4000,3800,3800,14520,ICF
2013-02-27,3600,3800,3600,3700,27000,ICF
2013-02-28,3800,3900,3700,3700,16870,ICF
2013-03-01,3700,3900,3700,3700,41970,ICF
2013-03-04,3800,3800,3500,3500,21360,ICF
2013-03-05,3500,3600,3400,3400,1190,ICF
2013-03-06,3600,3600,3400,3600,48090,ICF
2013-03-07,3500,3800,3500,3700,6050,ICF
2013-03-08,3700,3700,3600,3700,7250,ICF
2013-03-11,3700,3800,3600,3800,4690,ICF
2013-03-12,3800,3800,3600,3600,46580,ICF
2013-03-13,3600,3600,3500,3500,370,ICF
2013-03-14,3600,3600,3500,3600,7660,ICF
2013-03-15,3500,3600,3500,3600,43920,ICF
2013-03-18,3500,3600,3500,3600,13450,ICF
2013-03-19,3600,3700,3500,3500,19690,ICF
2013-03-20,3500,3600,3500,3600,17060,ICF
2013-03-21,3600,3600,3600,3600,23720,ICF
2013-03-22,3600,3600,3600,3600,0,ICF
2013-03-25,3600,3600,3600,3600,2440,ICF
2013-03-26,3600,3600,3600,3600,1200,ICF
2013-03-27,3500,3600,3500,3600,22790,ICF
2013-03-28,3500,3500,3500,3500,14030,ICF
2013-03-29,3500,3500,3500,3500,1640,ICF
2013-04-01,3500,3600,3500,3600,1550,ICF
2013-04-02,3500,3700,3500,3700,7190,ICF
2013-04-03,3700,3700,3500,3500,170,ICF
2013-04-04,3500,3600,3500,3600,1580,ICF
2013-04-05,3700,3700,3500,3600,4930,ICF
2013-04-08,3600,3700,3600,3600,5150,ICF
2013-04-09,3600,3700,3600,3700,13690,ICF
2013-04-10,3700,3700,3600,3600,11910,ICF
2013-04-11,3600,3600,3500,3600,4940,ICF
2013-04-12,3600,3600,3500,3500,29370,ICF
2013-04-15,3400,3500,3400,3500,16800,ICF
2013-04-16,3300,3500,3300,3500,3850,ICF
2013-04-17,3400,3500,3400,3500,4410,ICF
2013-04-18,3500,3500,3500,3500,110,ICF
2013-04-22,3500,3500,3500,3500,10,ICF
2013-04-23,3400,3400,3300,3300,2790,ICF
2013-04-24,3300,3400,3200,3400,3910,ICF
2013-04-25,3400,3400,3400,3400,100,ICF
2013-04-26,3300,3400,3300,3300,4610,ICF
2013-05-02,3300,3300,3300,3300,2380,ICF
2013-05-03,3400,3400,3300,3300,8560,ICF
2013-05-06,3300,3400,3300,3400,3050,ICF
2013-05-07,3300,3500,3300,3400,17460,ICF
2013-05-08,3400,3500,3400,3500,19300,ICF
2013-05-09,3400,3500,3400,3500,4100,ICF
2013-05-10,3400,3400,3300,3300,6090,ICF
2013-05-13,3300,3500,3300,3400,6160,ICF
2013-05-14,3400,3500,3300,3400,9980,ICF
2013-05-15,3300,3400,3300,3400,12120,ICF
2013-05-16,3400,3400,3300,3400,2910,ICF
2013-05-17,3200,3400,3200,3400,810,ICF
2013-05-20,3200,3400,3200,3300,2540,ICF
2013-05-21,3400,3400,3300,3400,14870,ICF
2013-05-22,3300,3400,3300,3300,13390,ICF
2013-05-23,3300,3400,3300,3400,2570,ICF
2013-05-24,3400,3500,3400,3500,18710,ICF
2013-05-27,3500,3600,3500,3600,6740,ICF
2013-05-28,3500,3500,3500,3500,8760,ICF
2013-05-29,3400,3600,3400,3500,19970,ICF
2013-05-30,3400,3400,3300,3400,53610,ICF
2013-05-31,3400,3500,3400,3500,46120,ICF
2013-06-03,3500,3600,3400,3500,25280,ICF
2013-06-04,3500,3700,3400,3600,46310,ICF
2013-06-05,3600,3600,3500,3600,12920,ICF
2013-06-06,3600,3600,3500,3500,26780,ICF
2013-06-07,3500,3600,3400,3600,12660,ICF
2013-06-10,3600,3600,3500,3600,4610,ICF
2013-06-11,3600,3600,3400,3600,8480,ICF
2013-06-12,3600,3600,3400,3500,9230,ICF
2013-06-13,3500,3500,3400,3500,17210,ICF
2013-06-14,3600,3600,3500,3600,10610,ICF
2013-06-17,3500,3600,3400,3600,25450,ICF
2013-06-18,3600,3600,3500,3500,5200,ICF
2013-06-19,3500,3600,3400,3400,8450,ICF
2013-06-20,3400,3500,3300,3500,12470,ICF
2013-06-21,3500,3500,3400,3400,9730,ICF
2013-06-24,3500,3500,3500,3500,180,ICF
2013-06-25,3500,3500,3300,3400,20400,ICF
2013-06-26,3400,3400,3400,3400,1020,ICF
2013-06-27,3400,3400,3400,3400,1010,ICF
2013-06-28,3400,3500,3300,3300,690,ICF
2013-07-01,3400,3400,3300,3300,1800,ICF
2013-07-02,3400,3400,3300,3400,21560,ICF
